url,robot,builder,type,job,team,hometown,sponsors,statHistory,matchHistory
https://battlebots.com/robot/25345/,Witch Doctor,Andrea Suarez,Disc spinner (vertical),Medical device engineer,Team Witch Doctor,"Miami, FL","['VEX Robotics', 'Kalamazoo Waterjet', 'Zimmer Biomet', 'MaxAmps', 'Mastercam', 'Southern Manufacturing Technologies']","{'Career': {'Total matches': '12', 'Win percentage': '58%', 'Total wins': '7', 'Losses': '5', 'Knockouts': '5', 'KO percentage': '42%', 'Average knockout time': '66 s', 'Knockouts against': '5', 'KO against percentage': '42%', 'Judges decision wins': '2'}, '2019': {'Total matches': '2', 'Win percentage': '100%', 'Total wins': '2', 'Losses': '0', 'Knockouts': '1', 'KO percentage': '50%', 'Average knockout time': '70 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '1'}, '2018': {'Total matches': '5', 'Win percentage': '60%', 'Total wins': '3', 'Losses': '2', 'Knockouts': '2', 'KO percentage': '40%', 'Average knockout time': '67 s', 'Knockouts against': '2', 'KO against percentage': '40%', 'Judges decision wins': '1'}, '2016': {'Total matches': '2', 'Win percentage': '50%', 'Total wins': '1', 'Losses': '1', 'Knockouts': '1', 'KO percentage': '50%', 'Average knockout time': '42 s', 'Knockouts against': '1', 'KO against percentage': '50%', 'Judges decision wins': '0'}, '2015': {'Total matches': '3', 'Win percentage': '33%', 'Total wins': '1', 'Losses': '2', 'Knockouts': '1', 'KO percentage': '33%', 'Average knockout time': '84 s', 'Knockouts against': '2', 'KO against percentage': '67%', 'Judges decision wins': '0'}}","[{'Season': '2019', 'Round': 'Episode 2', 'Matchup': 'Shatter vs Witch Doctor', 'Results': 'Witch Doctor by JD'}, {'Season': '2019', 'Round': 'Episode 5', 'Matchup': 'Captain Shrederator vs Witch Doctor', 'Results': 'Witch Doctor by KO 1m10s'}, {'Season': '2018', 'Round': 'Day 1 Session 2', 'Matchup': 'Witch Doctor vs Yeti', 'Results': 'Yeti by KO 1m24s'}, {'Season': '2018', 'Round': 'Day 4 Session 2', 'Matchup': 'Witch Doctor vs Blacksmith', 'Results': 'Witch Doctor by JD'}, {'Season': '2018', 'Round': 'Day 6 Session 2', 'Matchup': 'Ultimo Destructo vs Witch Doctor', 'Results': 'Witch Doctor by KO 54s'}, {'Season': '2018', 'Round': 'Day 8 Session 1', 'Matchup': 'Overhaul vs Witch Doctor', 'Results': 'Witch Doctor by KO 1m20s'}, {'Season': '2018', 'Round': 'Sweet 16 2018', 'Matchup': 'Minotaur vs Witch Doctor', 'Results': 'Minotaur by KO 1m39s'}, {'Season': '2016', 'Round': 'Qualifiers Session 1', 'Matchup': 'Rotator vs Witch Doctor', 'Results': 'Witch Doctor by KO 42s'}, {'Season': '2016', 'Round': 'Round of 32', 'Matchup': 'Witch Doctor vs Red Devil', 'Results': 'Red Devil by KO 1m27s'}, {'Season': '2016', 'Round': 'Sunday Exhibition', 'Matchup': 'Bite Force vs Witch Doctor vs Wrecks', 'Results': 'Bite Force by KO 2m12s'}]"
https://battlebots.com/robot/axe-backwards-2019/,Axe Backwards,Kurt Durjan,Full Bodied Drum Spinner,Execute the awesomeness.,Axe Backwards,"Port Saint Lucie, FL","['KurTrox', 'Treasure Coast Makerspace', 'Horizon Hobby', 'SpektrumRC', 'Shoot Steel', 'Kartlift', 'Prismatic Powders', 'Tweel']","{'Career': {'Total matches': '6', 'Win percentage': '17%', 'Total wins': '1', 'Losses': '5', 'Knockouts': '1', 'KO percentage': '17%', 'Average knockout time': '135 s', 'Knockouts against': '4', 'KO against percentage': '67%', 'Judges decision wins': '0'}, '2019': {'Total matches': '2', 'Win percentage': '0%', 'Total wins': '0', 'Losses': '2', 'Knockouts': '0', 'KO percentage': '0%', 'Average knockout time': '', 'Knockouts against': '2', 'KO against percentage': '100%', 'Judges decision wins': '0'}, '2018': {'Total matches': '4', 'Win percentage': '25%', 'Total wins': '1', 'Losses': '3', 'Knockouts': '1', 'KO percentage': '25%', 'Average knockout time': '135 s', 'Knockouts against': '2', 'KO against percentage': '50%', 'Judges decision wins': '0'}}","[{'Season': '2019', 'Round': 'Episode 2', 'Matchup': 'Axe Backwards vs Mammoth', 'Results': 'Mammoth by KO 1m36s'}, {'Season': '2019', 'Round': 'Episode 5', 'Matchup': 'Texas Twister vs Axe Backwards', 'Results': 'Texas Twister by KO 1m26s'}, {'Season': '2018', 'Round': 'Day 2 Session 1', 'Matchup': 'War Hawk vs Axe Backwards', 'Results': 'War Hawk by KO 1m30s'}, {'Season': '2018', 'Round': 'Day 4 Session 2', 'Matchup': 'Deviled Egg vs Axe Backwards vs Basilisk', 'Results': 'Deviled Egg by JD'}, {'Season': '2018', 'Round': 'Day 7 Session 2', 'Matchup': 'Monsoon vs Axe Backwards', 'Results': 'Monsoon by KO 38s'}, {'Season': '2018', 'Round': 'Day 9 Session 2', 'Matchup': 'Ultimo Destructo vs Axe Backwards', 'Results': 'Axe Backwards by KO 2m15s'}]"
https://battlebots.com/robot/bale-spear-s3/,Bale Spear,Earl Pancoast III,Poker,Builder and driver,Forge & Farm Combat Robots,"Salem, NJ",[],"{'Career': {'Total matches': '3', 'Win percentage': '0%', 'Total wins': '0', 'Losses': '3', 'Knockouts': '0', 'KO percentage': '0%', 'Average knockout time': '', 'Knockouts against': '1', 'KO against percentage': '33%', 'Judges decision wins': '0'}, '2018': {'Total matches': '3', 'Win percentage': '0%', 'Total wins': '0', 'Losses': '3', 'Knockouts': '0', 'KO percentage': '0%', 'Average knockout time': '', 'Knockouts against': '1', 'KO against percentage': '33%', 'Judges decision wins': '0'}}","[{'Season': '2018', 'Round': 'Day 2 Session 2', 'Matchup': 'Parallax& Bale Spear vs Basilisk & Double Dutch', 'Results': 'Basilisk, Double Dutch by JD'}, {'Season': '2018', 'Round': 'Day 3 Session 2', 'Matchup': 'Valkyrie vs Predator vs Bale Spear', 'Results': 'Valkyrie by KO 1m54s'}, {'Season': '2018', 'Round': 'Day 10 Session 1', 'Matchup': 'Bale Spear& Double Dutch vs Petunia & Predator', 'Results': 'Petunia, Predator by JD'}]"
https://battlebots.com/robot/basilisk-2/,Basilisk,Lucas Sloan,Flipper,3D Wizard,MBSrobotics,"Edmonton, Canada","['Formlabs', 'Karma Machining & Manufacturing', 'MadeBySloan', 'Special Metal Fabricating']","{'Career': {'Total matches': '4', 'Win percentage': '50%', 'Total wins': '2', 'Losses': '2', 'Knockouts': '1', 'KO percentage': '25%', 'Average knockout time': '137 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '1'}, '2018': {'Total matches': '3', 'Win percentage': '67%', 'Total wins': '2', 'Losses': '1', 'Knockouts': '1', 'KO percentage': '33%', 'Average knockout time': '137 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '1'}, '2016': {'Total matches': '1', 'Win percentage': '0%', 'Total wins': '0', 'Losses': '1', 'Knockouts': '0', 'KO percentage': '0%', 'Average knockout time': '', 'Knockouts against': '', 'KO against percentage': '0%', 'Judges decision wins': '0'}}","[{'Season': '2018', 'Round': 'Day 2 Session 2', 'Matchup': 'Parallax& Bale Spear vs Basilisk & Double Dutch', 'Results': 'Basilisk, Double Dutch by JD'}, {'Season': '2018', 'Round': 'Day 4 Session 2', 'Matchup': 'Deviled Egg vs Axe Backwards vs Basilisk', 'Results': 'Deviled Egg by JD'}, {'Season': '2018', 'Round': 'Day 10 Session 1', 'Matchup': 'Chomp vs Basilisk', 'Results': 'Basilisk by KO 2m17s'}, {'Season': '2016', 'Round': 'Rumbles', 'Matchup': 'Basilisk vs Blacksmith vs Gemini', 'Results': 'Blacksmith by JD'}]"
https://battlebots.com/robot/battlesaw-2019/,BattleSaw,Adam Cox,Ring Spinner,Architectural Draftsman,Twister Robotics,"Wichita, Ks","['Headshots', 'Midnight Science Club', 'WSU Tech']","{'Career': {'Total matches': '0', 'Win percentage': '', 'Total wins': '0', 'Losses': '0', 'Knockouts': '0', 'KO percentage': '', 'Average knockout time': '', 'Knockouts against': '0', 'KO against percentage': '', 'Judges decision wins': '0'}, '2019': {'Total matches': '0', 'Win percentage': '0%', 'Total wins': '0', 'Losses': '0', 'Knockouts': '0', 'KO percentage': '0%', 'Average knockout time': '', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '0'}}",[]
https://battlebots.com/robot/bite-force-2019/,Bite Force,Paul Ventimiglia,Bar spinner (vertical),Mechanical Designer / Robotics Engineer,APTYX Designs,"Mountain View, CA","['VEX Robotics', 'Worcester Polytechnic Institute', 'SOLIDWORKS', 'Magmotor Technologies', 'Big Blue Saw']","{'Career': {'Total matches': '16', 'Win percentage': '94%', 'Total wins': '15', 'Losses': '1', 'Knockouts': '10', 'KO percentage': '63%', 'Average knockout time': '98 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '5'}, '2019': {'Total matches': '2', 'Win percentage': '100%', 'Total wins': '2', 'Losses': '0', 'Knockouts': '1', 'KO percentage': '50%', 'Average knockout time': '168 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '1'}, '2018': {'Total matches': '8', 'Win percentage': '100%', 'Total wins': '8', 'Losses': '0', 'Knockouts': '7', 'KO percentage': '88%', 'Average knockout time': '76 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '1'}, '2016': {'Total matches': '3', 'Win percentage': '67%', 'Total wins': '2', 'Losses': '1', 'Knockouts': '1', 'KO percentage': '33%', 'Average knockout time': '96 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '1'}, '2015': {'Total matches': '5', 'Win percentage': '100%', 'Total wins': '5', 'Losses': '0', 'Knockouts': '2', 'KO percentage': '40%', 'Average knockout time': '123 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '3'}}","[{'Season': '2019', 'Round': 'Episode 3', 'Matchup': 'Bite Force vs Yeti', 'Results': 'Bite Force by JD'}, {'Season': '2019', 'Round': 'Episode 6', 'Matchup': 'Bronco vs Bite Force', 'Results': 'Bite Force by KO 2m48s'}, {'Season': '2018', 'Round': 'Day 1 Session 1', 'Matchup': 'Blacksmith vs Bite Force', 'Results': 'Bite Force by JD'}, {'Season': '2018', 'Round': 'Day 2 Session 1', 'Matchup': 'HyperShock vs Bite Force', 'Results': 'Bite Force by KO 36s'}, {'Season': '2018', 'Round': 'Day 4 Session 1', 'Matchup': 'Bite Force vs End Game', 'Results': 'Bite Force by KO 1m2s'}, {'Season': '2018', 'Round': 'Day 7 Session 1', 'Matchup': 'Bombshell vs Bite Force', 'Results': 'Bite Force by KO 47s'}, {'Season': '2018', 'Round': 'Sweet 16 2018', 'Matchup': 'Bite Force vs HUGE', 'Results': 'Bite Force by KO 1m37s'}, {'Season': '2018', 'Round': 'Quarter Finals 2018', 'Matchup': 'Rotator vs Bite Force', 'Results': 'Bite Force by KO 1m19s'}, {'Season': '2018', 'Round': 'Semi Finals 2018', 'Matchup': 'Whiplash vs Bite Force', 'Results': 'Bite Force by KO 1m29s'}, {'Season': '2018', 'Round': 'Final 2018', 'Matchup': 'Minotaur vs Bite Force', 'Results': 'Bite Force by KO 2m5s'}, {'Season': '2016', 'Round': 'Qualifiers Session 2', 'Matchup': 'Bite Force vs Mohawk', 'Results': 'Bite Force by KO 1m36s'}, {'Season': '2016', 'Round': 'Round of 32', 'Matchup': 'Bite Force vs The Ringmaster', 'Results': 'Bite Force by JD'}, {'Season': '2016', 'Round': 'Sweet 16', 'Matchup': 'Bite Force vs Chomp', 'Results': 'Chomp by JD'}, {'Season': '2016', 'Round': 'Sunday Exhibition', 'Matchup': 'Bite Force vs Witch Doctor vs Wrecks', 'Results': 'Bite Force by KO 2m12s'}]"
https://battlebots.com/robot/black-dragon-2019/,Black Dragon,João Marcos Giacometti Cavalheiro,Egg Beater Spinner,Engineering student,Uai!rrior,"Itajubá, Minas Gerais, Brasil","['MaxAmps', 'MGM', 'Neumotors', 'Imbel', 'Coracorthe', 'Unifei', 'Techmotion', 'Lna']","{'Career': {'Total matches': '2', 'Win percentage': '50%', 'Total wins': '1', 'Losses': '1', 'Knockouts': '1', 'KO percentage': '50%', 'Average knockout time': '66 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '0'}, '2019': {'Total matches': '2', 'Win percentage': '50%', 'Total wins': '1', 'Losses': '1', 'Knockouts': '1', 'KO percentage': '50%', 'Average knockout time': '66 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '0'}}","[{'Season': '2019', 'Round': 'Episode 2', 'Matchup': 'Texas Twister vs Black Dragon', 'Results': 'Texas Twister by JD'}, {'Season': '2019', 'Round': 'Episode 5', 'Matchup': 'Black Dragon vs Bloodsport', 'Results': 'Black Dragon by KO 1m6s'}]"
https://battlebots.com/robot/blacksmith-2019/,Blacksmith,Al Kindle,Hammer,Electro-Mechanical Technician,Half Fast Astronaut,"Edison, NJ","['Nuclear Blast Records', 'NPC Robotics', 'Kloeckner Metals', 'Jet Precision Metal']","{'Career': {'Total matches': '10', 'Win percentage': '30%', 'Total wins': '3', 'Losses': '7', 'Knockouts': '1', 'KO percentage': '10%', 'Average knockout time': '175 s', 'Knockouts against': '1', 'KO against percentage': '10%', 'Judges decision wins': '1'}, '2019': {'Total matches': '2', 'Win percentage': '50%', 'Total wins': '1', 'Losses': '1', 'Knockouts': '0', 'KO percentage': '0%', 'Average knockout time': '', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '0'}, '2018': {'Total matches': '5', 'Win percentage': '20%', 'Total wins': '1', 'Losses': '4', 'Knockouts': '1', 'KO percentage': '20%', 'Average knockout time': '175 s', 'Knockouts against': '0', 'KO against percentage': '0%', 'Judges decision wins': '0'}, '2016': {'Total matches': '3', 'Win percentage': '33%', 'Total wins': '1', 'Losses': '2', 'Knockouts': '0', 'KO percentage': '0%', 'Average knockout time': '', 'Knockouts against': '1', 'KO against percentage': '33%', 'Judges decision wins': '1'}}","[{'Season': '2019', 'Round': 'Episode 1', 'Matchup': 'Blacksmith vs Quantum', 'Results': 'Quantum by JD 2m16s'}, {'Season': '2019', 'Round': 'Episode 4', 'Matchup': 'Kraken vs Blacksmith', 'Results': 'Blacksmith'}, {'Season': '2018', 'Round': 'Day 1 Session 1', 'Matchup': 'Blacksmith vs Bite Force', 'Results': 'Bite Force by JD'}, {'Season': '2018', 'Round': 'Day 3 Session 1', 'Matchup': 'Blacksmith vs The Four Horseman', 'Results': 'Blacksmith by KO 2m55s'}, {'Season': '2018', 'Round': 'Day 4 Session 2', 'Matchup': 'Witch Doctor vs Blacksmith', 'Results': 'Witch Doctor by JD'}, {'Season': '2018', 'Round': 'Day 7 Session 1', 'Matchup': 'Blacksmith vs Minotaur', 'Results': 'Minotaur by JD'}, {'Season': '2018', 'Round': 'Day 10 Session 2', 'Matchup': 'Blacksmith vs Warhead', 'Results': 'Warhead by JD'}, {'Season': '2016', 'Round': 'Rumbles', 'Matchup': 'Basilisk vs Blacksmith vs Gemini', 'Results': 'Blacksmith by JD'}, {'Season': '2016', 'Round': 'Qualifiers Session 2', 'Matchup': 'Bronco vs Blacksmith', 'Results': 'Bronco by KO 2m16s'}, {'Season': '2016', 'Round': 'Round of 32', 'Matchup': 'Minotaur vs Blacksmith', 'Results': 'Minotaur by JD'}]"
https://battlebots.com/robot/bloodsport-2019/,Bloodsport,Justin Marple,Bar spinner (horizontal),Embedded Software Engineer,Bots ‘n’ Stuff Robotics,"Somerville, MA","['VEX Robotics', 'University of Utah', 'Big Blue Saw', 'Fingertech Robotics']","{'Career': {'Total matches': '2', 'Win percentage': '50%', 'Total wins': '1', 'Losses': '1', 'Knockouts': '0', 'KO percentage': '0%', 'Average knockout time': '', 'Knockouts against': '1', 'KO against percentage': '50%', 'Judges decision wins': '1'}, '2019': {'Total matches': '2', 'Win percentage': '50%', 'Total wins': '1', 'Losses': '1', 'Knockouts': '0', 'KO percentage': '0%', 'Average knockout time': '', 'Knockouts against': '1', 'KO against percentage': '50%', 'Judges decision wins': '1'}}","[{'Season': '2019', 'Round': 'Episode 5', 'Matchup': 'Black Dragon vs Bloodsport', 'Results': 'Black Dragon by KO 1m6s'}, {'Season': '2019', 'Round': 'Episode 3', 'Matchup': 'Bloodsport vs Lucky', 'Results': 'Bloodsport by JD'}]"
https://battlebots.com/robot/bombshell-2019/,Bombshell,Matthew Carroll / Dan Hammer,Modular,Mechanical Specialist / Mechanical Engineer,The Chaos Corps,"Atlanta, GA","['Twilio', 'REV Robotics', 'ATAP, Inc']","{'Career': {'Total matches': '14', 'Win percentage': '36%', 'Total wins': '5', 'Losses': '9', 'Knockouts': '4', 'KO percentage': '29%', 'Average knockout time': '120 s', 'Knockouts against': '7', 'KO against percentage': '50%', 'Judges decision wins': '1'}, '2019': {'Total matches': '2', 'Win percentage': '0%', 'Total wins': '0', 'Losses': '2', 'Knockouts': '0', 'KO percentage': '0%', 'Average knockout time': '', 'Knockouts against': '2', 'KO against percentage': '100%', 'Judges decision wins': '0'}, '2018': {'Total matches': '6', 'Win percentage': '17%', 'Total wins': '1', 'Losses': '5', 'Knockouts': '1', 'KO percentage': '17%', 'Average knockout time': '117 s', 'Knockouts against': '4', 'KO against percentage': '67%', 'Judges decision wins': '0'}, '2016': {'Total matches': '6', 'Win percentage': '67%', 'Total wins': '4', 'Losses': '2', 'Knockouts': '3', 'KO percentage': '50%', 'Average knockout time': '123 s', 'Knockouts against': '1', 'KO against percentage': '17%', 'Judges decision wins': '1'}}","[{'Season': '2019', 'Round': 'Episode 2', 'Matchup': 'DUCK! vs Bombshell', 'Results': 'DUCK! by KO 52s'}, {'Season': '2019', 'Round': 'Episode 4', 'Matchup': 'Rotator vs Bombshell', 'Results': 'Rotator by KO 57s'}, {'Season': '2018', 'Round': 'Day 1 Session 1', 'Matchup': 'Bombshell vs Lock-Jaw', 'Results': 'Lock-Jaw by KO 1m53s'}, {'Season': '2018', 'Round': 'Day 3 Session 2', 'Matchup': 'Bronco vs Bombshell', 'Results': 'Bronco by KO 1m19s'}, {'Season': '2018', 'Round': 'Day 5 Session 1', 'Matchup': 'Yeti vs Bombshell', 'Results': 'Yeti by JD'}, {'Season': '2018', 'Round': 'Day 7 Session 1', 'Matchup': 'Bombshell vs Bite Force', 'Results': 'Bite Force by KO 47s'}, {'Season': '2018', 'Round': 'Sweet 16 2018', 'Matchup': 'Tombstone vs Bombshell', 'Results': 'Bombshell by KO 1m57s'}, {'Season': '2018', 'Round': 'Quarter Finals 2018', 'Matchup': 'Bombshell vs Lock-Jaw', 'Results': 'Lock-Jaw by KO 36s'}, {'Season': '2016', 'Round': 'Qualifiers Session 2', 'Matchup': 'Complete Control vs Bombshell', 'Results': 'Complete Control by JD'}, {'Season': '2016', 'Round': 'Round of 32', 'Matchup': 'Cobalt vs Bombshell', 'Results': 'Bombshell by KO 1m45s'}, {'Season': '2016', 'Round': 'Sweet 16', 'Matchup': 'Red Devil vs Bombshell', 'Results': 'Bombshell by JD'}, {'Season': '2016', 'Round': 'Quarter Finals', 'Matchup': 'Bombshell vs Poison Arrow', 'Results': 'Bombshell by KO 1m35s'}, {'Season': '2016', 'Round': 'Semi Finals', 'Matchup': 'Minotaur vs Bombshell', 'Results': 'Bombshell by KO 2m50s'}, {'Season': '2016', 'Round': 'Final', 'Matchup': 'Tombstone vs Bombshell', 'Results': 'Tombstone by KO 53s'}]"
