robot,builder,type,job,team,hometown,Total matches, Win percentage, Total wins, Losses, Knockouts, KO percentage, Average knockout time, Knockouts against, KO against percentage, Judges decision wins
Breaker Box,Jim Smentowski,Lifter,"Designer, builder",Team Nightmare,"Bradenton, FL",1,100%,1,0,0,0%,,0,0%,1
RailGun Max,Elaine Wu,Egg Beater Spinner,CEO,Team Atom,"Shanghai, China",1,100%,1,0,1,100%,63,0,0%,0
Rainbow,Petr Kravchenko,Bar spinner (horizontal),Student,Unicorn,"Saint-Petersburg, Russia",1,100%,1,0,1,100%,65,0,0%,0
Texas Twister,Michael “Fuzzy” Mauldin,Disc spinner (horizontal),Retired Computer Scientist,Team Toad,"Liberty Hill, Texas",2,100%,2,0,1,50%,86,0,0%,1
Uppercut,Alex Hattori,Puncher,Student,MIT Combat Robotics Club,"Cambridge, MA",1,100%,1,0,1,100%,65,0,0%,0
Bite Force,Paul Ventimiglia,Bar spinner (vertical),Mechanical Designer / Robotics Engineer,APTYX Designs,"Mountain View, CA",16,94%,15,1,10,63%,98,0,0%,5
Tombstone,Ray Billings,Bar spinner (horizontal),"Designer, Builder, and Driver",Hardcore Robotics,"Placerville, CA",19,89%,17,2,15,79%,78,1,5%,2
Whiplash,Jeff Vasquez,Articulated Lifter / Vertical Disc Spinner,Senior Engineering Technician at Meggitt Airframe Systems,Fast Electric Robots,"Thousand Oaks, CA",9,78%,7,2,5,56%,108,2,22%,2
Bronco,"Reason Bradley, Alexander Rose",Launcher,Builder/Driver,Inertia Labs,"Sausalito, CA",15,73%,11,4,9,60%,82,4,27%,2
DUCK!,Hal Rucker,Lifter,Inventor,Team Black & Blue,"Hillsborough, CA",7,71%,5,2,4,57%,103,2,29%,1
Skorpios,Zachary Lytle,Top Attack Saw,President of Bot Bash Parties,Offbeat Robotics,"Lafayette, CA",7,71%,5,2,2,29%,165,1,14%,3
Son of Whyachi (aka SOW),Luke Ewert,Caged 3 arm spinner (horizontal),Engineer at Westar LLC,Team Whyachi Robotics,"Dorchester, WI",10,70%,7,3,8,80%,100,2,20%,0
DeathRoll,Steven Martin,Disc spinner (vertical),Research Engineer,Team DeathRoll,"Brisbane, Australia",3,67%,2,1,2,67%,74,1,33%,0
Minotaur,Marco Antonio Meggiolaro,Drum spinner,Professor of Mechanical Engineering at PUC-Rio (Pontifical Catholic University of Rio de Janeiro),RioBotz,"Rio de Janeiro, Brazil",15,67%,10,5,7,47%,112,3,20%,3
Sharkoprion,Edward D. Robinson,Disc spinner (vertical),Circus Clown,Team Blaze,"Poway, CA",3,67%,2,1,1,33%,142,0,0%,1
Yeti,Greg Gibson,Drum spinner,Hydrographic Surveyor,Team Yeti,"Wasilla, AK",12,67%,8,4,5,42%,108,1,8%,3
Monsoon,Tom Brewster,Bar spinner (vertical),QA Test Analyst (Video Games),Team Monsoon,"Turvey, United Kingdom",8,63%,5,3,3,38%,62,3,38%,2
Valkyrie,Leanne Cushing,Undercutter,"Founder, CEO of Domovi",Questionable Designs,"Somerville, MA",8,63%,5,3,2,25%,78,3,38%,3
WAR Hawk,Rob Farrow,Bar spinner (vertical),User Experience Researcher,Western Allied Robotics,"Seattle, WA",8,63%,5,3,3,38%,96,3,38%,2
Icewave,Marc DeVidts,Bar spinner (horizontal),CTO at Double Robotics,Team Icewave,"Burlingame, CA",10,60%,6,4,5,50%,65,1,10%,1
Witch Doctor,Andrea Suarez,Disc spinner (vertical),Medical device engineer,Team Witch Doctor,"Miami, FL",12,58%,7,5,5,42%,66,5,42%,2
Gigabyte,John Mladenik,Full Bodied Spinner,"Robot Design, coordination of build, design, fabrication, funding",Robotic Death Company,"Oceanside, CA",7,57%,4,3,3,43%,107,3,43%,1
